acacia,EMUL/STAB
acacia,REG
acacia,GRAS/FS
acesulfame potassium,REG
acesulfame potassium,NNS
acetic acid,GRAS/FS
acetic acid,FEED
acetic anhydride,REG
acetic anhydride,MISC
acetone,SOLV
acetone,REG
acetone peroxides,REG/FS
acetone peroxides,GMP
acetyl-(p-nitrophenyl)-sulfanilamide,REG
acetyl-(p-nitrophenyl)-sulfanilamide,FEED
n-acetyl-l-methionine,REG
n-acetyl-l-methionine,NUTR
acetylated monoglycerides,GMP
acetylated monoglycerides,REG
acetylated monoglycerides,EMUL
acidified sodium chlorite solutions,REG
aconitic acid,SY/FL
aconitic acid,GRAS/FS
acrolein,REG
acrolein,MISC
acrylamide -acrylic acid resin,GMP
acrylamide -acrylic acid resin,REG
acrylamide -acrylic acid resin,MISC
acrylamide -acrylic acid resin,FEED
acrylamide-sodium acrylate resin,REG
"acrylic acid 12-acrylamido-2,2-propionic sulfonic acid copolymer",GMP
"acrylic acid 12-acrylamido-2,2-propionic sulfonic acid copolymer",REG
adjuvants for pesticides use dilutions,ADG/PEST
adjuvants for pesticides use dilutions,REG
adipic acid,GMP
adipic acid,FLV
adipic acid,FEED
adipic acid,GRAS
adipic anhydride,REG
adipic anhydride,MISC
agar-agar,GRAS/FS
agar-agar,MISC
agar-agar,GRAS
aklomide (2-chloro-4-nitrobenzamide),REG
aklomide (2-chloro-4-nitrobenzamide),FEED
dl-alanine,REG
dl-alanine,FL/ADJ
dl-alanine,NUTR
albendazole,REG
albendazole,VET
"alcohol, denatured formula 23a",REG
"alcohol, denatured formula 23a",MISC
"alcohol, sda-3a",MISC
"alcohol, sda-3a",REG
"alcohol, sda-3a",SDA
alcohols/phosphate esters of same mixture,REG
alcohols/phosphate esters of same mixture,MISC
"alfalfa, extract",GRAS
alfalfa herb and seed,SP/ESO
alfalfa herb and seed,GRAS
"algae, brown (kelp), or red",GRAS
"algae, brown (kelp), or red",REG
"algae, brown (kelp), or red",NAT
alginic acid and salts:,REG
alginic acid and salts:,MISC
alginic acid and salts:,GRAS
ammonium alginate,STAB
ammonium alginate,REG
ammonium alginate,GMP
ammonium alginate,GRAS
calcium alginate,STAB
calcium alginate,GRAS
potassium alginate,STAB
potassium alginate,GRAS
sodium alginate,STAB
sodium alginate,REG
sodium alginate,GRAS/FS
sodium alginate,GRAS
alginic acid,GRAS
algin,STAB
algin,GRAS/FS
alkanomide produced by condensation of coconut oil fatty acids and diethanolamine,REG
alkanomide produced by condensation of coconut oil fatty acids and diethanolamine,MISC
n-alkyl(c12-c18)benzyldimethylammonium chloride,SANI
n-alkyl(c12-c18)benzyldimethylammonium chloride,REG
n-alkyl(c12-c14)dimethylethylbenzylammonium chloride,SANI
n-alkyl(c12-c14)dimethylethylbenzylammonium chloride,REG
alpha-alkyl-omega-hydroxypoly(oxyethylene),REG
alpha-alkyl-omega-hydroxypoly(oxyethylene),MISC
alkylene oxide adducts of alkyl alcohols,REG
alkylene oxide adducts of alkyl alcohols,MISC
allspice,SP/ESO
allspice,GRAS
allspice oil and oleoresin,ESO
allspice oil and oleoresin,GRAS
"almond, bitter",ESO
"almond, bitter",GRAS
aloe,GMP
aloe,REG
aloe,FL/ADJ
alpha-acetolactate decarboxylase,ENZ
alpha-acetolactate decarboxylase,REG
alpha-acetolactate decarboxylase,GMP
alpha-amylase,ENZ
alpha-amylase,REG
althea flowers or root (marshmallow root),GMP
althea flowers or root (marshmallow root),REG
