Special K Pastry Crisps Strawberry 6 Count ,"[['(Wheat Flour', ' Niacin', ' Reduced Iron', ' Vitamin B1 [Thiamin Mononitrate]', ' Vitamin B2 [Riboflavin]', ' Folic Acid'], ' Sugar', ['(Soybean', ' Palm and/or Palm Kernel Oil'], ' Fructose', ' Dextrose', ' Maltodextrin. Contains 2% or Less of Modified Food Starch', ' Apple Powder', ' Strawberry Puree Concentrate', ' Nonfat Milk', ' Cornstarch', ' Invert Sugar', ['(Baking Soda Sodium Acid Pyrophosphate', ' Monocalcium Phosphate'], ' Soy Lecithin', ' Reduced Minerals Whey', ' Salt', ' DATEM', ' Vegetable Juice for Color', ' Sodium Citrate', ' Natural Flavors', ' Cellulose Gel', ' Sodium Alginate', ' Cellulose Gum', ' Tricalcium Phosphate', ' Citric Acid', ' Mono- and Diglycerides', ' Malic Acid', ' Rosemary Extract for Freshness.']",27
Nutri,"['Crust: Whole Grain Oats', ['(Wheat Flour', ' Niacin', ' Reduced Iron', ' Vitamin B1 [Thiamin Mononitrate]', ' Vitamin B2 [Riboflavin]', ' Folic Acid'], ' Soybean Oil', ' Whole Wheat Flour', ' Sugar', ' Dextrose', ' Fructose', ' Calcium Carbonate', ' Vegetable Glycerin', ' Invert Sugar', ' Whey', ' Soluble Corn Fiber', ' Salt', ' Wheat Bran', ' Cellulose', ' Natural Flavors', ' Potassium Bicarbonate', ' Mono- and Diglycerides', ' Soy Lecithin', ' Wheat Gluten', ' Niacinamide', ' Vitamin A Palmitate', ' Carrageenan', ' Zinc Oxide', ' Reduced Iron', ' Guar Gum', ' Vitamin B6 (Pyridoxine Hydrochloride)', ' Vitamin B1 (Thiamin Hydrochloride)', ' Vitamin B2 (Riboflavin)', ' Filling: Invert Sugar', ' Corn Syrup', ' Raspberry Puree Concentrate', ' Vegetable Glycerin', ' Sugar', ' Vegetable Juice for Color', ' Modified Food Starch', ' Sodium Alginate', ' Natural Flavors', ' Citric Acid', ' Sodium Citrate', ' Methylcellulose', ' Dicalcium Phosphate', ' Malic Acid.']",43
Nature Valley Granola Bars Crunchy Oats n Honey ,"['Whole Grain Oats', ' Sugar', ' Canola Oil', ' Rice Flour', ' Honey', ' Salt', ' Brown Sugar Syrup', ' Baking Soda', ' Soy Lecithin', ' Natural Flavor.']",10
Nature Valley Granola Bars Sweet & Salty Nut Cashew ,"['Whole Grain Oats', ' Corn Syrup', ' Cashews Roasted in Safflower Oil', ' Sugar', ' Rice Flour', ' Palm Kernel Oil', ' Fructose', ' Tapioca Syrup', ' Vegetable Glycerin', ['(Cashew Nuts', ' Safflower Oil'], ' Canola Oil', ' Whey', ' Salt', ' Soy Lecithin', ' Corn Starch', ' Barley Malt Extract', ['(Almonds', ' Honey', ' Maltodextrin', ' Palm Oil', ' Mixed Tocopherols'], ' Peanut Flour', ' Baking Soda', ' Natural Flavor', ' Vitamin E (Mixed Tocopherols) Added to Retain Freshness.']",21
Nature Valley Granola Bars Crunchy Variety Pack ,"[""Oats 'N Dark Chocolate: Whole Grain Oats"", ' Sugar', ' Canola Oil', ['(Sugar', ' Chocolate Liquor', ' Cocoa Butter', ' Soy Lecithin', ' Natural Flavor', ' Salt'], ' Rice Flour', ' Honey', ' Cocoa', ' Brown Sugar Syrup', ' Salt', ' Natural Flavor', ' Baking Soda', ' Soy Lecithin. Peanut Butter: Whole Grain Oats', ' Sugar', ' Canola Oil', ['(Peanuts', ' Salt'], ' Rice Flour', ' Brown Sugar Syrup', ' Salt', ' Baking Soda', "" Soy Lecithin. Oats 'N Honey: Whole Grain Oats"", ' Sugar', ' Canola Oil', ' Rice Flour', ' Honey', ' Salt', ' Brown Sugar Syrup', ' Baking Soda', ' Soy Lecithin', ' Natural Flavor.']",29
Nv Crispy Creamy Wafer Bar Pb Choc 5ct ,"[['(Peanuts', ' Salt'], ' Sugar', ' Palm and Palm Kernel Oil', ' Whole Grain Wheat Flour', ' Peanut Flour', ' Whole Grains Oats', ' Corn Starch', ' Cocoa', ' Milk Powder', ' Salt', ' Honey', ' Natural Flavor', ' Soy Lecithin', ' Baking Soda.']",14
CLIF Kid ZBar Organic Chocolate Chip ,"['Oat Blend (Organic Ingredient) (Rolled Oats (Organic Ingredient)', ' Oat Flour (Organic Ingredient)', ' Oat Fiber (Organic Ingredient))', ' Tapioca Syrup (Organic Ingredient)', ' Fig Paste (Organic Ingredient)', ' High Oleic Sunflower Oil (Organic Ingredient)', ' Cane Sugar (Organic Ingredient)', ' Cane Syrup (Organic Ingredient)', ' Unsweetened Chocolate (Organic Ingredient)', ' Natural Flavors', ' Cocoa Butter (Organic Ingredient)', ' Sea Salt', ' Soy Flour (Organic Ingredient)', ' Baking Soda', ' Soy Lecithin (Organic Ingredient)', ' Vanilla Extract (Organic Ingredient).']",16
Fiber One Brownies 90 Calories Chocolate Fudge ,"['Chicory Root Extract', ' Erythritol', ' Wheat Flour Bleached', ' Dutch Cocoa (Processed with Alkali)', ' Vegetable Glycerin', ' Canola Oil', ' Sugar', ' Sugarcane Fiber', ' Palm Kernel and Palm Oil', ' Polydextrose', ' Sorbitol', ' Calcium Caseinate. Contains 2% or Less of: Whey Protein Concentrate', ' Cocoa', ['(Baking Soda', ' Sodium Aluminum Phosphate'], ' Natural Flavor', ' Egg White', ' Salt', ' Soy Lecithin', ' Milk Powder', ' Stevia Leaf Extract.']",20
Cinnamon Toast Crunch Treats Bar Cinnamon ,"[['(Whole Grain Wheat', ' Rice Flour', ' Sugar', ' Maltodextrin', ' Dextrose', ' Canola Oil', ' Salt', ' Trisodium Phosphate', ' Calcium Carbonate', ' Caramel Color', ' Vitamins and Minerals: Iron and Zinc [Mineral Nutrients]', ' a B Vitamin [Niacinamide]', ' Vitamin B6 [Pyridoxine Hydrochloride]', ' Vitamin B2', ' [Riboflavin]', ' a B Vitamin Vatic Acid]'], ['(Sugar', ' Palm Kernel', ' Oil', ' Whey Powder', ' Soy Lecithin'], ' Corn Syrup', ['(Rice Flour', ' Barley Malt Extract', ' Salt'], ' High Fructose Corn Syrup', ' Fructose', ' Canola Oil', ' Sugar', ' Contains 2 % or Less of: Glycerin', ' Calcium Carbonate', ' Maltodextrin', ' Sorbitol', ['(Caramel Color', ' Annatto Extract', ' Yellow 5 Lake', ' Yellow 6 Lake', ' Red 00 Lake', ' Blue 1 Lake'], ' Gelatin', ' Salt', ' Cinnamon', ' Natural Flavor', ' Vitamin B', ['(Thiamin Mononitrate', ' Zinc and Iron (Mineral Nutrients'], ['(Permit', ''], ' Soy Lecithin', ' a B Vitamin (Niacinamide)', ' Vitamin B12', ' Vitamin B6', ' (Pyridoxine Hydrochloride)', ' Vitamin B2 (Riboflavin)', ' a B Vitamin (Folic Acid)', ' Vitamin D3.']",28
Nature Valley Granola Bars Crunchy Oats n Honey Value Pack ,"['Whole Grain Oats', ' Sugar', ' Canola and/or Sunflower Oil', ' Rice Flour', ' Honey', ' Salt', ' Brown Sugar Syrup', ' Baking Soda', ' Soy Lecithin', ' Natural Flavor.']",10
